x 	 -0.476190
y 	 0.000000
z 	 0.904762
x 	 -0.476190
y 	 -0.095238
z 	 0.904762
x 	 -0.428571
y 	 -0.095238
z 	 0.904762
x 	 -0.428571
y 	 -0.047619
z 	 0.904762
x 	 -0.476190
y 	 -0.047619
z 	 0.904762
x 	 -0.428571
y 	 -0.095238
z 	 0.857143
x 	 -0.476190
y 	 -0.047619
z 	 0.904762
x 	 -0.380952
y 	 -0.095238
z 	 0.904762
x 	 -0.523810
y 	 -0.095238
z 	 0.857143
x 	 -0.380952
y 	 -0.047619
z 	 0.857143
x 	 -0.476190
y 	 -0.047619
z 	 0.904762
x 	 -0.428571
y 	 0.000000
z 	 0.904762
x 	 -0.428571
y 	 -0.047619
z 	 0.904762
x 	 -0.428571
y 	 0.000000
z 	 0.857143
x 	 -0.476190
y 	 -0.095238
z 	 0.857143
x 	 -0.476190
y 	 -0.047619
z 	 0.904762
x 	 -0.428571
y 	 -0.047619
z 	 0.904762
x 	 -0.428571
y 	 -0.095238
z 	 0.952381
x 	 -0.380952
y 	 -0.047619
z 	 0.904762
x 	 -0.428571
y 	 0.000000
z 	 0.952381
x 	 -0.428571
y 	 -0.047619
z 	 0.904762
x 	 -0.476190
y 	 -0.047619
z 	 0.904762
x 	 -0.476190
y 	 -0.047619
z 	 0.857143
x 	 -0.428571
y 	 -0.095238
z 	 0.857143
x 	 -0.380952
y 	 0.000000
z 	 0.904762
x 	 -0.476190
y 	 -0.047619
z 	 0.904762
x 	 -0.476190
y 	 -0.047619
z 	 0.904762
x 	 -0.428571
y 	 -0.095238
z 	 0.904762
x 	 -0.380952
y 	 -0.047619
z 	 0.857143
x 	 -0.428571
y 	 -0.095238
z 	 0.904762
x 	 -0.523810
y 	 -0.047619
z 	 0.904762
x 	 -0.380952
y 	 -0.047619
z 	 0.904762
x 	 -0.476190
y 	 -0.047619
z 	 0.904762
x 	 -0.952381
y 	 0.666667
z 	 1.476190
x 	 1.476190
y 	 1.476190
z 	 -0.190476
x 	 1.476190
y 	 -1.285714
z 	 1.476190
x 	 1.476190
y 	 1.238095
z 	 1.476190
x 	 -1.523810
y 	 0.952381
z 	 0.285714
x 	 1.428571
y 	 1.476190
z 	 1.000000
x 	 -1.523810
y 	 0.333333
z 	 1.476190
x 	 1.476190
y 	 1.476190
z 	 1.047619
x 	 -1.428571
y 	 -1.285714
z 	 1.428571
x 	 1.476190
y 	 0.476190
z 	 0.476190
x 	 -1.476190
y 	 -1.428571
z 	 1.047619
x 	 -0.904762
y 	 -0.285714
z 	 0.476190
x 	 -0.904762
y 	 -0.333333
z 	 0.428571
x 	 -0.904762
y 	 -0.333333
z 	 0.476190
x 	 -0.904762
y 	 -0.238095
z 	 0.476190
x 	 -0.904762
y 	 -0.238095
z 	 0.476190
x 	 -0.904762
y 	 -0.190476
z 	 0.428571
x 	 -0.952381
y 	 -0.333333
z 	 0.476190
x 	 -0.952381
y 	 -0.238095
z 	 0.428571
